Beat Master,,,,,,,,,,,,
,,,,,,,,,Printed by ITD436_OP1 at 22/05/2026 12:26:58,,,
DS Type :,16 - Convenience Ds CDM,,,,,,,,,,,
DS Name :,"KHOKON DEY - 11810,CHANDANA DAS - 118101,Sanjoy Adhakari - 118109,BABLU CHOUDHURY - 11811,ANIL SINGH - 118113,X - 118116,SOUMEN MAITY - 118117,MOLOY MAITY - 118118,BHOLA NATH MAL - 118119,BASIR AHMED ...",,,,,,,,,,,
Customer :,All,,,,,,,,,,,
DS Code,DS Name,DS Type,DS Status,Beat Code,Beat Name,Beat End Date,Customer Code,Customer Name,Customer Status,Frequency,Date of Beat Modification,Max Beat Count
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2020CU0227,A1 MADAN PAN,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2020CU0444,A10 BENARASHI PAN,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2020CU0450,A11 MADAN PAN SHOP,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2020CU0451,A12 ROHIT STORE,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2022CU0085,A13 B LAL,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2022CU0086,A14 AMAR NATH PAN,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2022CU0087,A15 RAMU SINGH,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2022CU0088,A16 J P UTTAM,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2022CU0089,A17 PAPPU BENARASHI,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2022CU0202,A18 TAPAN DEY,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2020CU0228,A2 SHIBANJALI,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2022CU0203,A20 R C PAN,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2022CU0204,A21 DILIP DALA,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2020CU0229,A3 JAGANNATH PAN,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2020CU0230,A4 R S PAN,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2020CU0231,A5 RAMJI SHAW,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2020CU0232,A6 NEW BENARASI,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2020CU0441,A7 UTTAM PAN,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2020CU0442,A8 GOBINDA SINGH,Active,Daily,24-02-2017 12:34,
11876,A,16 - Convenience Ds CDM,Active,64,HARISH CHATTERJEE CG,31-12-2099,118EXP2020CU0443,A9 B PAN STORES,Active,Daily,24-02-2017 12:34,
11851,ABHIJIT DAS,16 - Convenience Ds CDM,Active,123,ROY BHADUR ROAD CG 2,31-12-2099,118EXP2018CU0004,ROUTE 15,Active,Daily,06-10-2017 12:05,
118113,ANIL SINGH,16 - Convenience Ds CDM,Inactive,286,TC Road 2,31-12-2099,118807869,AJOY PAN,Active,Daily,05-02-2025 14:14,
118113,ANIL SINGH,16 - Convenience Ds CDM,Inactive,286,TC Road 2,31-12-2099,118807863,B D GUPTA,Active,Daily,05-02-2025 14:14,
118113,ANIL SINGH,16 - Convenience Ds CDM,Inactive,286,TC Road 2,31-12-2099,118807756,B SINGH,Active,Daily,05-02-2025 14:14,
118113,ANIL SINGH,16 - Convenience Ds CDM,Inactive,286,TC Road 2,31-12-2099,118841413,BHUMI ST,Active,Daily,05-02-2025 14:14,
118113,ANIL SINGH,16 - Convenience Ds CDM,Inactive,286,TC Road 2,31-12-2099,118841381,GHOSH PAN,Active,Daily,05-02-2025 14:14,
118113,ANIL SINGH,16 - Convenience Ds CDM,Inactive,286,TC Road 2,31-12-2099,118809490,JAGANATH PAN,Active,Daily,05-02-2025 14:14,
118113,ANIL SINGH,16 - Convenience Ds CDM,Inactive,286,TC Road 2,31-12-2099,118841284,JHARNA ST,Active,Daily,05-02-2025 14:14,
118113,ANIL SINGH,16 - Convenience Ds CDM,Inactive,286,TC Road 2,31-12-2099,118841294,LAXMI NARAYAN ST,Active,Daily,05-02-2025 14:14,
118113,ANIL SINGH,16 - Convenience Ds CDM,Inactive,286,TC Road 2,31-12-2099,118841398,MINOTI,Active,Daily,05-02-2025 14:14,
118113,ANIL SINGH,16 - Convenience Ds CDM,Inactive,286,TC Road 2,31-12-2099,118841421,MINOTI ST,Active,Daily,05-02-2025 14:14,
118113,ANIL SINGH,16 - Convenience Ds CDM,Inactive,286,TC Road 2,31-12-2099,118841426,POPULAR,Active,Daily,05-02-2025 14:14,
118113,ANIL SINGH,16 - Convenience Ds CDM,Inactive,286,TC Road 2,31-12-2099,118841431,REKHA ST,Active,Daily,05-02-2025 14:14,
118113,ANIL SINGH,16 - Convenience Ds CDM,Inactive,286,TC Road 2,31-12-2099,118807774,S P GUPTA,Active,Daily,05-02-2025 14:14,
118113,ANIL SINGH,16 - Convenience Ds CDM,Inactive,286,TC Road 2,31-12-2099,118807880,SUBHASH PAN,Active,Daily,05-02-2025 14:14,
118113,ANIL SINGH,16 - Convenience Ds CDM,Inactive,286,TC Road 2,31-12-2099,118841312,SUVO PAN,Active,Daily,05-02-2025 14:14,
11853,ARIF AHMED,16 - Convenience Ds CDM,Active,125,A.J.C BOSE ROAD CG 2,31-12-2099,118CU0179,ROUTE 2,Active,Daily,10-10-2017 16:04,
11849,ARYAN AHMED,16 - Convenience Ds CDM,Active,121,KALIGHAT 2 CG 2,31-12-2099,118CU0190,ROUTE 5,Active,Daily,04-10-2017 12:59,
11841,ATANU GARAI,16 - Convenience Ds CDM,Active,198,D P S 2 CG,31-12-2099,118EXP2018CU0015,ROUTE 19,Active,Daily,12-09-2025 11:04,
11822,ATANU MAITY,16 - Convenience Ds CDM,Active,120,HAZRA ROAD CG 2,31-12-2099,118CU1052,D P SHING,Active,Daily,24-07-2025 12:53,
11822,ATANU MAITY,16 - Convenience Ds CDM,Active,120,HAZRA ROAD CG 2,31-12-2099,118CU0180,ROUTE 13,Active,Daily,24-07-2025 12:53,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2020CU0233,B1 LAKHAN SHAW,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2020CU0354,B10 RAM SINGH,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2020CU0355,B11 GOPAL SHAW,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2020CU0356,B12 BIRENDRA SHAW,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2021CU0093,B13 RAJ & BROTHERS,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2021CU0094,B14 R N PAN,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2021CU0095,B15 TARA MAA PAN,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2021CU0096,B16 RAM BILASH CHOWPAL,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2021CU0097,B17 SURESH BENARASHI,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2021CU0098,B18 SURESH SHAW,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0098,B19 PHOOL CHAND CHOWRASIA,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2020CU0234,B2 B K SHAW,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0099,B20 AP & JK GUPTA,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0100,B21 AUDDY STORES,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0101,B22 MAHESHWAR SHAW,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0206,B23 N N SABTH,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0207,B24 BASHUDEB DEY,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0208,B25 BABU STORES,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0209,B26 RAMA TEA,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0210,B27 SUBHAS CHANDRA TIWARI,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0211,B28 DUTTA & SON,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0212,B29 BINOD SINGH,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2020CU0235,B3 MADAN BISWAS,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0213,B30 SUMON STORES,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0214,B31 AJIT STORES,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0215,B32 KANU MANJHI,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0216,B33 SURESH CHOWRASIA,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0217,B34 BIJOY DAS,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0218,B35 RAJENDER,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0219,B36 PRABHAT HALDER,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0220,B37 BENARASHI PAN BHANDAR,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0221,B38 MANU DAS,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0223,B39 GANESH DASGUPTA,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2020CU0236,B4 M DAS,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2022CU0224,B40 LALU TRADERS,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2020CU0237,B5 GANESH STORES,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2020CU0238,B6 M SHAW,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2020CU0351,B7 RAM DAS,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2020CU0352,B8 NANDA KISHOR SHAW,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118EXP2020CU0353,B9 NAMITA PATRA,Active,Daily,24-02-2017 12:30,
11877,B,16 - Convenience Ds CDM,Active,54,KALIGHAT 2 CG,31-12-2099,118CU0190,ROUTE 5,Active,Daily,24-02-2017 12:30,
118119,BHOLA NATH MAL,16 - Convenience Ds CDM,Active,CY0000000325,D P S 2 CG2,31-12-2999,118DMS092500195,ROUTE 19A,Active,Daily,12-09-2025 11:31,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2020CU0239,C1 SWAPAN BANIK,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2020CU0460,C10 ASHIRBAD,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2020CU0461,C11 KALI MATA STORE,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2022CU0018,C12 MOTI LAL SHAW,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2022CU0019,C13 MANTU SHAW,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2022CU0020,C14 RAJENDRA PRASAD,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2022CU0021,C15 AJAY SHAW,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2022CU0022,C16 PAPPU BENARASI,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2022CU0225,C17 MAA KALI STORES,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2022CU0226,C18 B SHAW,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2022CU0227,C19 BAPI STORES,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2020CU0240,C2 MANTU SHAW,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2022CU0228,C20 MAHADEV PAN SHOP,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2022CU0229,C21 BASANTI SONKAR,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2022CU0230,C22 RAJU KUNDU,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2022CU0231,C23 SARMISTHA SINGH,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2022CU0232,C24 MONI STORES,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2022CU0233,C25 SRINATH SHAW,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2022CU0234,C26 RAJESH SHAW,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2020CU0241,C3 GOBINDO STORES,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2020CU0242,C4 DIGEN SHAW,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2020CU0243,C5 MAA MANASHA PAN,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2020CU0445,C6 MANTU PAN,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2020CU0446,C7 LOKENATH STORE,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2020CU0447,C8 GOBINDA BHANDAR,Active,Daily,24-02-2017 12:29,
11878,C,16 - Convenience Ds CDM,Active,53,KALIGHAT 1 CG,31-12-2099,118EXP2020CU0448,C9 DIGEN SHAW,Active,Daily,24-02-2017 12:29,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2020CU0244,D1 A ROY,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2020CU0413,D10 BENARASHI PAN,Active,Daily,24-02-2017 12:30,
11879,D,16 - Convenience Ds CDM,Active,56,KALIGHAT 4 CG,31-12-2099,118EXP2022CU0023,D11 J ANSARI,Active,Daily,24-02-2017 12:30,
